"idName","gender","InvalsiRead1","InvalsiRead2","InvalsiRead3","InvalsiRead4","InvalsiRead5","InvalsiRead6","InvalsiRead7","InvalsiRead8","InvalsiRead9","InvalsiRead10","InvalsiRead11","InvalsiRead12"
"ulsjogna","M","1","0","1","1","0","1","1","0","1","1","0","0"
"rjyswbgq","F","0","0","0","0","0","0","0","0","0","0","0","0"
"estlwygb","F","0","0","0","0","0","0","0","0","0","0","0","0"
"uqoxkbcr","F","1","0","1","0","0","1","1","0","1","1","0","0"
"xfzraymq","F","0","0","1","1","0","1","1","1","0","0","0","0"
"mldpuixc","F","1","1","1","1","1","1","1","1","1","1","1","1"
"knzdebsg","M","1","0","1","1","0","1","1","0","0","0","1","0"
"ujxistrf","M","1","0","1","1","1","1","1","1","1","0","0","1"
"hnixymgq","F","0","0","0","0","0","0","0","0","0","0","0","0"
"cmpodwix","F","0","0","1","1","0","0","0","0","0","1","0","0"
"thgrmkbp","F","1","1","1","1","1","1","1","1","0","1","0","1"
"zwriucha","M","1","0","1","1","0","1","1","0","0","1","0","0"
"gnedtzip","M","1","0","1","1","1","1","1","1","1","1","1","1"
"qkamxipd","M","1","1","1","0","0","1","0","0","1","0","1","0"
"tgfdwmuh","M","1","0","1","1","1","1","1","1","1","0","0","0"
"etpkngud","M","1","0","0","1","0","1","0","0","0","1","1","0"
"bzsctlxo","M","1","0","1","0","1","0","1","0","0","0","0","0"
"cpbilqza","F","1","1","1","1","1","1","0","0","1","1","0","0"
"mevcbhoj","F","1","0","1","0","1","1","1","1","1","1","1","1"
"xpbykieo","F","1","0","1","1","1","1","1","0","0","0","0","0"
"ozilubne","M","1","0","1","0","0","1","0","0","1","0","0","1"
"rxctkmzb","M","1","1","1","0","1","1","1","0","1","0","1","0"
"rghmxweu","F","1","0","1","0","0","1","1","0","0","0","1","0"
"epotynvl","M","1","0","0","1","0","1","1","0","0","0","0","0"
"wmyzualo","F","1","1","1","1","1","1","1","1","1","0","1","1"
"byqtzpos","M","0","0","0","1","0","1","0","0","1","0","0","1"
"ivqmgaeh","F","1","0","1","1","0","1","1","1","1","1","0","1"
"dkfonmrt","F","1","1","1","1","1","1","1","1","1","1","1","1"
"bmneqogh","M","0","0","0","0","0","0","0","0","0","0","0","0"
"pdlvcxuo","M","1","0","1","1","1","1","1","0","1","0","1","1"
"tzkuabif","F","0","0","1","0","0","1","1","0","0","0","0","0"
"vnquxmia","M","0","0","0","0","0","0","0","0","0","0","0","0"
"lwmukzoy","M","1","0","1","1","1","1","0","0","0","1","0","0"
"ljhdfpyb","F","0","0","0","0","1","0","1","0","0","0","0","0"
"dluzacfo","F","1","1","1","1","1","1","1","1","1","1","1","0"
"dpeanosx","M","1","0","0","1","0","1","1","1","0","0","1","0"
"vwkpsjya","F","1","1","1","1","1","1","1","0","1","1","1","1"
"fmjyovwx","M","1","0","1","1","1","1","1","0","1","1","1","0"
"gyehufsn","F","1","0","1","1","0","1","0","0","1","0","0","0"
"dlahnziv","M","1","0","1","1","1","1","1","0","0","1","0","1"
"sygluftz","M","1","0","1","0","0","1","0","0","0","0","0","0"
"gdihlqam","F","1","0","1","0","0","1","1","0","0","0","0","0"
"yqfcdzgh","F","1","0","1","0","0","1","1","0","0","1","0","0"
"qdjlwbyc","M","1","1","1","1","1","1","1","1","1","1","1","1"
"zivalpwr","F","1","0","1","1","0","1","1","0","1","1","0","0"
"aklxyozb","M","1","0","1","1","0","0","1","0","1","1","0","0"
"luxpgmqc","F","1","0","1","1","0","0","0","1","0","1","1","1"
"bmqfckja","M","0","0","1","0","0","1","0","0","0","0","0","0"
"tnyswvpx","F","1","0","1","0","1","1","1","0","1","1","0","0"
"ijxfghmv","M","1","0","1","1","0","1","1","1","0","1","0","0"
"guwdqkfv","M","0","0","0","0","0","1","0","0","1","0","0","0"
"gpsnkyih"," ","1","0","1","0","1","1","0","0","0","1","0","0"
"rjhfczei","M","1","0","1","1","0","1","1","1","1","0","1","0"
"zesqhpnk","F","1","1","1","1","1","1","1","0","1","1","1","0"
"ecivlabw"," ","0","0","0","0","1","0","0","0","0","0","0","0"
"lvobshje","F","0","0","1","0","0","0","0","0","0","0","0","0"
"eipvfznh","M","1","1","1","1","1","1","1","1","1","0","1","1"
"bnkxzvmo","M","1","0","1","1","1","1","1","1","1","0","1","0"
"yvqcsrzg","F","1","1","1","1","1","1","1","1","1","1","1","1"
"kgyudwan","F","1","0","1","0","0","0","0","0","1","0","0","0"
"kqbmveid","F","1","0","1","0","0","0","0","0","0","0","0","0"
"gsfhmwrl","M","1","0","1","1","1","1","1","1","1","0","0","1"
"lipogfxb","M","1","0","0","1","1","0","0","0","0","0","0","0"
"vkloxzga","M","1","0","0","0","0","0","0","0","0","0","0","0"
"bzcakpwt","M","1","1","1","0","0","1","1","1","1","0","0","0"
"edjqbxua","F","0","0","1","0","0","1","1","0","0","0","0","0"
"lghvnwuy","f","0","0","0","0","0","1","0","0","0","0","0","0"
"igltuchz"," ","0","0","0","0","0","0","0","0","0","0","0","1"
"cjdwpgyb","F","1","0","1","1","0","1","1","1","1","1","0","0"
"ryaituln","F","0","0","1","1","0","1","0","1","1","0","1","0"
"qupwtdka","M","1","0","1","1","0","1","0","0","0","1","1","0"
"mpjovdbz","M","0","0","1","0","0","0","0","0","0","0","0","0"
"xhivsydl","M","1","0","0","0","0","1","0","0","0","0","0","0"
"tivxpkof","F","1","0","1","1","0","1","1","0","0","0","0","0"
"rqzovmiw","M","1","1","1","1","1","1","1","1","0","1","1","1"
"sltcegjx","F","1","0","1","1","0","1","1","0","1","0","1","0"
"ivhtzjap","M","1","0","1","0","1","1","1","0","0","1","1","0"
"orsdkjza","M","1","0","1","0","0","1","1","0","0","1","0","1"
"xhmalegz","M","1","0","1","1","1","0","1","1","0","0","1","0"
"iacpszov","M","1","0","1","1","1","1","1","0","0","0","1","0"
"xigfncok","F","0","0","0","0","0","0","0","0","0","0","0","0"
"mgvlopyx","F","1","1","1","1","1","1","1","0","1","0","0","0"
"csigtray","M","0","0","0","0","0","0","1","0","0","0","0","0"
"ekowrtdi","M","1","0","1","1","1","1","1","1","1","0","1","1"
"tbplmciz","M","0","0","1","0","0","0","0","0","1","0","0","0"
"qhutynsr","M","1","1","0","1","0","1","1","0","0","0","0","0"
"salzegvr","F","0","0","1","1","1","1","0","1","0","0","0","0"
"wnuaflks","F","1","0","1","0","1","0","1","0","1","0","0","1"
"ngsciexj","F","1","0","1","1","0","1","1","0","0","1","0","0"
"grdjnibe","F","1","0","0","0","0","1","1","0","0","0","0","0"
"tnprxoig","F","1","0","1","1","1","1","1","1","1","0","0","0"
"vidsqcxy","M","0","1","1","1","0","0","1","0","0","0","0","0"
"mkcgospr","F","1","1","1","1","1","1","1","0","1","1","1","0"
"xyeuisvj","F","0","0","1","1","0","0","1","0","0","0","0","0"
"eizomnul","M","0","0","0","0","0","0","1","0","0","0","0","0"
"dzpiogyc","F","1","0","0","0","1","1","1","0","0","0","0","0"
"kvybjode","F","0","0","1","0","0","0","1","0","0","0","0","0"
"besvpjyc","F","1","0","0","1","0","1","0","0","1","1","0","0"
"zorfjvem","f","1","0","1","0","1","1","1","0","0","0","0","0"
"qwbzgsft","M","1","0","0","0","0","1","1","0","0","0","0","0"
"vumltfyi","F","1","0","0","1","0","1","1","0","1","1","0","0"
"kmzxubai","F","1","0","1","1","0","0","1","0","1","0","0","0"
"wqoasgni","M","1","0","1","1","1","1","1","0","1","1","0","1"
"zvbwamnj","F","1","1","1","1","1","1","1","1","1","1","1","1"
"hrbfuxsc","F","","","","","","","","","","","",""
"eqlciwjb","M","0","0","0","1","0","0","0","0","0","0","0","0"
"dnkuhbmt","M","0","0","1","0","0","0","0","0","0","0","0","0"
"psxlzjyv","F","1","0","0","1","1","1","0","0","1","0","0","0"
"rqmajies","M","0","0","0","0","0","0","0","0","0","0","0","0"
"uwrfevjq","F","1","1","1","1","1","1","1","0","1","1","1","1"
"eaytjlfi","F","0","0","0","0","0","0","0","0","0","0","0","0"
"cemytdng","F","0","0","1","1","1","1","1","1","0","1","1","1"
"ownifjmx","F","1","1","1","0","0","1","1","0","0","1","0","1"
"mybcdhui","F","1","0","0","1","1","1","0","0","1","0","0","0"
"zrhfxnvt","M","1","0","1","0","1","1","0","1","0","1","0","0"
"zmvxwfot","F","0","0","1","0","1","1","1","0","0","1","0","1"
"gotiwbxp","M","1","0","1","1","0","0","1","0","0","0","0","0"
"iahlpkdo","F","1","0","1","1","1","1","1","0","0","1","1","0"
"xsrufypg","M","0","0","1","0","1","1","0","0","0","0","0","0"
"yuwnkisj","F","1","0","1","1","1","1","0","0","0","1","0","0"
"mvleoxau","F","0","0","1","1","0","1","0","0","0","0","1","0"
"vslihmgw","F","1","1","1","1","1","1","1","1","1","1","1","1"
"ipqczgtm","F","0","0","1","1","0","0","1","0","1","0","0","0"
"ryspengw","M","1","0","1","1","1","1","1","0","0","0","0","0"
"hgrtamop","F","1","1","1","1","0","1","1","0","1","0","0","0"
"nbkiwvmr","F","0","0","1","1","0","0","0","0","0","0","0","0"
"hzsnpovc","M","","","","","","","","","","","",""
"lvwyatzf","M","1","0","1","1","0","0","0","0","1","0","0","0"
"gshawcyd","F","1","0","1","1","1","1","0","1","1","1","0","0"
"sfjckhdt","F","1","1","1","1","1","1","0","0","1","0","0","1"
"ohigndcx","M","0","0","1","1","1","1","1","0","1","1","0","0"
"hgxtnqde","F","1","0","0","0","0","1","1","0","1","0","0","0"
"scwaridq","M","0","0","0","0","0","0","0","0","0","0","0","0"
"lgwphmvn","F","1","1","1","1","1","1","1","1","1","1","1","1"
"epvoixrz","F","0","0","1","0","0","0","1","0","0","0","0","0"
"ufdlowec","M","1","1","1","1","1","1","1","1","1","1","0","1"
"dmvkiyzt","M","1","0","1","1","1","1","0","0","1","0","0","0"
"uisfavjb","M","1","0","1","1","1","1","1","0","1","0","1","0"
"ozpktibm","F","1","0","1","1","1","1","1","0","1","0","0","1"
"rluwoink","F","1","0","1","1","1","1","1","0","1","1","0","1"
"gjruvwbi","F","1","0","1","1","1","1","1","0","0","1","0","0"
"fwecvzja","F","1","1","1","0","1","1","1","1","1","1","0","1"
"czbtuqnl","F","1","0","1","1","0","0","0","0","0","0","0","1"
"nufjqkyi","M","1","0","0","1","1","0","1","0","0","0","0","0"
"zebaripn","M","1","0","1","0","1","1","0","0","1","0","0","0"
"ghtpqnwo","M","0","0","0","1","1","1","0","1","0","1","0","1"
"ctleprhy"," ","1","0","1","1","1","1","1","0","0","0","0","0"
"bpqzhlgf"," ","1","1","1","1","1","1","1","1","1","1","1","0"
"acxreifd","F","1","0","1","1","0","1","1","0","0","0","0","0"
"rsptkajn","M","1","0","1","1","0","0","0","0","0","0","0","0"
"eptmawdz","F","0","0","0","0","0","0","0","0","0","0","0","0"
"jaeiucsm","F","1","0","0","1","1","1","1","1","0","0","0","0"
"ijgtqhwy","M","0","0","1","0","0","0","0","0","0","0","0","0"
"rckeqztw","f","0","0","0","1","0","0","1","0","0","0","0","0"
"mrzsuoae","F","1","0","1","0","0","0","0","0","0","0","0","0"
"tmnsuwpg","F","1","0","1","0","0","1","1","0","0","1","0","0"
"mkvbtqfd","F","0","0","0","0","0","0","1","0","0","0","0","0"
"mtyexzqs","F","0","0","0","1","0","0","0","0","0","0","0","0"
"iyzxdsga","M","1","0","1","0","1","1","1","0","0","0","0","0"
"wpncdhzg"," ","0","1","0","0","0","1","1","0","1","0","0","0"
"jrqzande","M","0","0","1","1","0","0","0","0","0","0","0","0"
"ycbvihzn","F","1","0","1","1","1","1","1","0","0","0","1","1"
"owlvhguf","M","1","0","1","1","0","1","1","1","0","0","0","0"
"pxytjmws","M","1","1","1","1","1","1","1","1","1","1","1","1"
"zykbqhic","M","0","0","1","0","1","1","1","1","0","0","0","0"
"bpovkhql","F","0","0","1","1","1","1","1","0","0","0","1","0"
"locgbknr","F","1","1","1","1","1","1","1","1","1","1","1","0"
"rvzgfhkp","F","1","1","1","1","1","0","0","0","0","0","0","0"
"xomeiyaw","M","1","0","0","0","0","0","0","0","0","0","0","0"
"olwtvbnk","M","1","0","1","1","0","1","1","0","1","0","0","0"
"mulobxpr","F","1","0","1","1","1","1","1","0","0","0","0","0"
"nmjuwzeo","M","0","0","0","0","0","0","0","0","0","0","0","0"
"lpseayig","M","1","1","1","1","1","1","1","1","1","0","0","0"
"yptkvsfj","F","1","0","1","1","1","1","0","0","1","1","0","0"
"uaevptmh","F","1","0","1","0","0","1","1","0","0","0","0","0"
"oqjsxrcb","M","1","0","0","1","0","1","0","0","0","0","0","0"
"krxwgulb","F","0","0","0","0","0","0","1","10000","1","0","0","0"
"vypwetsk","M","1","0","1","1","1","1","0","0","1","0","0","0"
"logbsxej","F","1","1","1","1","1","1","1","0","1","1","0","0"
"vhrwgkyx","M","1","0","1","0","1","0","0","1","0","0","0","0"
"wfntzbgr","M","1","0","1","1","1","1","1","1","1","1","1","0"
"vdkazuhy","F","1","0","1","0","0","0","0","0","1","0","0","0"
"doxpsima","F","0","0","1","1","1","1","1","0","1","0","0","1"
"nfirqzea","M","1","0","1","1","0","1","1","0","0","0","0","0"
"jscanudl","M","1","0","0","0","0","0","0","0","0","0","0","0"
"nsbjcfka","F","1","0","1","0","1","1","1","0","0","0","0","0"
"ourviygf","M","0","0","1","0","0","1","1","0","0","0","0","0"
"swpzlbme","F","1","1","1","1","1","1","1","1","1","1","0","0"
"dytifjro","F","1","0","1","1","0","1","1","0","0","0","0","1"
"kwmixyhc","F","1","1","0","1","1","1","1","0","0","0","0","1"
"nyusoleq","M","0","0","1","1","1","1","1","0","1","1","0","1"
"fouxmqtn","F","1","0","1","0","0","0","1","0","0","0","0","0"
"aqlfbyng","F","1","0","1","1","0","1","1","0","1","0","0","0"
"rgjzxsin","M","1","0","0","0","0","0","0","0","0","0","0","0"
"mpylxtkj","F","1","0","1","0","0","0","1","0","0","0","0","0"
"pdnmxcor","M","0","0","0","1","0","1","0","0","0","0","0","0"
"ykgnloxb","F","1","0","1","1","1","1","1","1","0","0","1","1"
"pzkitaev","F","1","0","1","1","1","1","1","0","0","0","1","0"
"mhjebsvo","M","0","0","0","0","0","0","1","0","0","0","0","0"
"jprcmqfv","M","0","0","1","0","1","1","0","0","0","1","0","0"
"bmsyglzt","F","1","0","1","1","1","1","0","0","0","0","0","0"
"yscxbirv","M","1","0","1","1","1","1","1","1","1","0","0","0"
"kiopzldu","M","1","0","1","1","1","1","1","1","1","0","0","0"
"qpmwdyvh","M","0","0","0","0","0","0","0","0","0","0","0","0"
"fmvnzawo","F","1","0","1","0","0","1","0","0","0","0","0","0"
"lnytiohf","F","1","0","1","1","1","1","1","0","0","0","0","0"
"dcaosvlu","M","1","0","1","1","1","1","1","0","0","0","0","0"
"xycjztwh","M","1","0","1","1","1","1","1","1","1","1","0","0"
"ahtgrqlv","F","1","0","1","0","0","1","0","0","0","0","0","0"
"yvxstlid","M","1","1","1","1","0","1","1","0","1","1","0","1"
"ohfkesnd","F","1","0","1","1","0","1","1","1","1","1","0","0"
"xdtvgmyz","F","1","0","1","0","0","0","1","0","0","0","1","1"
"tmphxdkn","m","0","0","0","0","0","1","0","0","0","0","0","0"
"bwrupaks","M","1","0","0","0","0","1","1","0","0","0","0","0"
"egocyvdm","M","1","1","1","1","1","1","1","0","0","0","0","1"
"ixtaqzcd","F","1","0","1","1","1","1","1","1","1","0","1","0"
"aczslfmy","M","0","0","1","0","1","0","0","0","1","0","0","0"
"wselraxz","F","0","0","1","0","0","1","1","0","0","0","1","1"
"txjzslen","F","1","1","1","0","1","1","1","1","1","0","1","1"
"fbxmchpz","F","1","0","1","0","1","1","1","0","0","0","0","0"
"komjviux","M","0","0","1","1","0","1","0","0","0","0","0","0"
"fcorzeys","F","1","0","1","1","1","1","1","1","1","1","1","1"
"rsualmhk","F","1","1","1","1","1","1","1","1","1","1","1","1"
"mxqbuchp","m","1","0","1","1","0","0","1","0","1","0","0","0"
"qnxzycgj","F","1","1","1","1","1","1","1","1","1","1","1","1"
"nhtadzoy","M","1","0","1","0","1","0","1","1","1","1","0","0"
"tieyqckm","F","0","0","1","0","0","0","1","0","0","0","0","0"
"mnyrelzd","F","1","0","0","1","1","1","1","1","0","0","0","0"
"omtgcxbf","M","1","0","1","1","0","0","0","0","0","0","0","0"
"ckobwxra","F","1","1","1","0","1","1","1","1","1","1","0","0"
"aszncybk","F","1","1","1","1","1","1","1","1","1","1","0","0"
"gcxlkwra","M","1","1","1","1","0","1","1","1","1","1","1","1"
"bzmwxvne","F","1","0","1","1","0","1","1","1","1","0","0","0"
"goknyard","F","1","0","1","1","1","1","0","0","0","0","0","0"
"vneagpfw","M","1","0","0","0","1","1","1","0","0","1","0","0"
"lcsrehoi","F","1","1","1","1","1","1","1","1","1","1","1","0"
"jusgqilb","F","0","0","1","1","1","1","1","1","1","1","0","0"
"vrkamseu","F","1","0","1","1","1","1","1","1","0","1","0","0"
"qhvnujow","F","1","0","1","1","1","1","1","1","0","1","1","1"
"okfutmhg","F","1","0","1","1","0","0","0","0","0","0","0","0"
"pvhysfam","F","0","0","1","0","1","0","1","0","0","0","0","0"
"glvybiaz","F","0","0","0","0","0","1","1","1","0","1","0","0"
"vxqzrlgf","M","1","0","0","0","1","1","1","0","0","0","0","0"
"zfolmqbe","F","1","0","1","1","1","0","1","0","0","0","0","0"
"jinvmloe","M","1","0","1","1","0","1","0","0","0","0","0","0"
"rzjvthcl","F","1","1","1","0","1","1","1","0","1","0","1","1"
"fwphrqgu","F","1","1","1","1","1","1","1","1","1","1","1","0"
"dnectoiy","F","1","0","1","0","1","1","1","0","0","1","0","0"
"ocnhybgp","F","1","0","0","1","0","1","0","0","1","0","0","0"
"poiatlvc","M","0","0","1","0","0","0","0","0","0","0","0","0"
"oqsiwkzx","M","1","1","1","1","1","1","1","1","1","1","1","1"
"hkiqdyvl","M","0","0","1","1","0","0","0","0","0","0","0","0"
"bgtexkdi","F","1","0","1","1","1","1","1","1","0","0","0","0"
"hlpmxatu","F","1","0","0","1","0","0","1","0","0","0","0","0"
"lbiqwsan","F","1","1","1","0","1","1","1","0","1","1","1","0"
"ubenolai","F","1","0","1","1","1","1","1","1","1","0","0","0"
"jungvxac"," ","1","1","1","0","0","0","0","0","1","0","0","0"
"wbkhmezd","F","1","1","1","1","1","1","1","1","1","1","0","1"
"kspiqnxg","M","1","0","1","1","1","1","1","0","1","0","0","0"
"cpdijhvo","F","1","0","0","0","0","0","1","0","0","0","0","0"
"xwnvedua","F","0","0","0","0","0","1","1","0","0","0","0","0"
"cvdxmzlk","M","1","1","1","1","0","1","1","0","1","1","1","0"
"vczlkibj","F","0","0","1","1","1","1","1","1","1","1","0","0"
"ideosbth","F","0","0","1","1","0","1","1","0","0","0","0","0"
"brjvfawe","F","1","1","1","1","1","1","1","1","1","1","1","0"
"lhuqybko","M","1","0","1","0","1","0","0","0","0","0","0","0"
"ouvahkct","M","1","1","1","0","1","1","1","1","1","0","1","0"
"vsmdzten","M","1","0","1","0","1","0","1","0","1","0","0","0"
"skfcvxpa","M","0","0","0","1","0","0","0","0","0","0","0","0"
"ckwhsyeu","M","0","0","0","1","0","1","0","0","0","0","0","0"
"qwabtvym","F","1","0","1","1","1","1","1","0","1","1","0","1"
"amfpujkn","M","1","0","1","1","1","1","1","1","1","0","1","0"
"zcremqjb","M","0","0","1","0","0","1","1","0","0","0","0","0"
"ckgaytnb","F","1","0","1","1","1","1","1","1","1","1","1","1"
"zuxmcahy","F","1","0","1","1","1","1","1","1","0","1","0","1"
"ubxsamfk","M","1","0","1","0","1","1","1","0","1","0","1","0"
"ouvdmijh","F","1","0","1","0","1","1","0","0","0","0","0","0"
"jwetfmci","M","1","0","1","0","0","1","0","0","0","0","0","1"
"eqojmgba","M","1","1","1","1","0","1","1","0","1","1","0","0"
"soirefzq","F","0","0","1","1","1","0","1","0","1","1","0","0"
"auhowtdm","M","1","1","1","1","1","1","1","1","1","1","1","1"
"nqhfswmj","M","1","0","0","0","1","1","0","0","0","0","0","0"
"yvtwpkdj","M","1","0","0","1","0","1","1","0","1","1","0","0"
"vwgkxqyb","M","0","0","0","1","0","0","0","0","0","0","0","0"
"fdaixneo","F","1","0","1","1","1","0","0","0","0","0","0","0"
"mquwkzdo","F","0","0","0","0","0","0","0","0","0","0","0","0"
"cjqurely","M","1","0","1","1","1","1","1","0","1","0","0","0"
"qzveofgh","f","1","1","1","1","1","0","1","0","0","0","0","0"
"yialbqsn","F","1","1","1","1","1","1","1","0","0","1","0","0"
"ypjitgqx","F","0","0","1","1","1","1","1","0","1","0","0","0"
"ecqutzxs","F","1","0","1","1","1","1","1","1","1","1","1","0"
"faikxhdb","F","1","1","1","1","1","1","1","0","0","1","1","0"
"wboixgqh","m","1","0","0","1","0","0","0","0","0","1","0","0"
"bpnotwmx"," ","0","0","0","0","0","1","0","0","0","0","0","0"
"ycslkqtn","F","1","0","1","0","0","1","0","0","1","1","0","1"
"ojghwusy","M","0","0","0","0","0","0","0","0","0","0","0","0"
"wmvneqli","M","1","1","1","1","1","1","1","1","1","1","1","0"
